1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Bhaskar, 2017, I think c is the wrong statement.
	Sumit, 2017, Illite swells more than kaolinite.
	Dhananjay, 2019, Yes, Illite does show some swelling.
	Gaurav Sharma, 2020, Answer A and B both are correct. Because in illite ionic bond is form which is stronger than water bond (montmorillonite) and weaker than hydrogen bond (Kaolinite).  $%  $% Example of kaolinite is china clay (teacup) which shows no swelling and shrinkage. We all know water bond of monriolinite shows high shrinkage and swelling. Illite is 500 Armstrong to 1000 Armstrong whereas kaolinite and montmorillonite gives 100 - 1000 Armstrong and 10-50 Armstrong. So both A and B correct.



1552. Determination of water content of a soil sample suspected to contain gypsum is made by drying the sample for longer period at a temperature not more than
	Vishal Kumar Singh, 2017, Because gypsum will loose its water of crystallization after 100-110^c.
	Viru Kapoor, 2018, 60° for organic soil.
	Bhagwat, 2018, The Answer should be A.
	Mahy, 2018, It should be 65°C.
	Mahy, 2018, 65° is the right answer.
	Aks, 2018, I think gypsum is not organic.
	Ravi Thakur, 2018, Gypsum, carbon, etc these come under organic soils.
	Sachin Chavan, 2019, For soils having high gypsum contain temperature is not increaseed beyond 80° in order to loss of water crystalization.
	Sam K, 2020, Certain soils contain gypsum which on heating loses its water if crystallization. If it is suspected that gypsum is present in the soil sample used for moisture content determination it shall be dried at not more than 80 'C and possibly for a longer time.
	Manny, 2021, For gypsum and calcium -80. $% For organic -60.



1553. Water formed transported soil is
	Shaik Meera Mohiddin, 2015, Answer should be A alluvial soils.
	Ramjagtap, 2015, Answer Alluvial. $%  $% Because less sand forms under air wind action.
	Ajay Wagh, 2015, Yes, answer is alluvial soil.
	Season, 2015, Alluvial is soil deposited by the river. $%  $% Marine is soil deposited by Sea/Ocean. $%  $% Lacustrine is soil deposited by lakes. $%  $% Loess is soil deposited by air or wind. $%  $% I think answer is A, B and C.
	Murugesh, 2016, The correct answer is option A.
	Dinesh Khunti, 2016, How water formed transported soil?
	Ayanti Devnath, 2018, Colluvial is soil deposited by gravitational force.
	Jeetya, 2019, @Ayanti. $%  $% Talus is the soil deposited by gravity.
	Ashwini Kumar Singh, 2019, If transported by river or water it is Alluvial and if transported by wind then its loess.
	Terjhaghi, 2020, Alluvial - Transported by the river. $% Marine - deposited by Sea. $% Lacustrine - deposited by the lake. $%  $% There is some kind of difference between transportation and deposition, so the correct answer should be an option (a)
	Engineer Johny Sins, 2021, And loess is a silty clay formed by action of Wind.



1554. A decrease in water content results in a reduction of the volume of a soil in
	Roshan, 2016, Reduction in volume doesn't occur only in shrinkage limit except that in all remaining limits volume reduction is occur as water content is decreased.
	Aman, 2016, I think the answer must be A.
	Mahe, 2017, @Aman. $%  $% All the above is correct. Because here mentioning the states. Not limits.



1555. Pick up the correct statement from the following:
	Mahendra Kumar Reddy, 2017, According to me, only option D is correct.
	Chaudhary, 2017, Yes, IT IS D. $%  $% Because according to Karl terzagi (D/b<=1). $% skamton(D/B<2.5).
	Vinodh, 2017, Opt 4 is correct. $%  $% D/B less than or equal to 1, it is shallow foundation otherwise it is a deep foundation.
	Joel, 2018, Yes, Option D is correct because shallow foundation can extend up to 1.5m depth only.



1556. The vane shear test is used for the in-situ determination of the undrained strength of the intact fully saturated
	Nabin Kafle, 2017, The vane shear test is an in-situ geotechnical testing method used to estimate the undrained shear strength of fully saturated clays without disturbance.



1557. Fundamental relationship between dry density (γd), bulk density (γ) and water content (ω), is :
	Sri Nandhini, 2014, w = Ww / Wd. $% 1+w = 1+ (Ww/Wd). $% 1+w = (Ww+Wd)/ Wd. $% 1+w = W/Wd. $% Wd = W/ (1+w). $% Yd = Wd/V. $% Yd= W/[(1+w)V]      since (W/V = Y). $%  $% Therefore  Yd= Y/(1+w).



1558. The specific gravity of quartz, is
	Akash, 2015, Generally the specific gravity of soil is same as that of aggregates it can be practically determined & it is 2.65.
	Kr. Sheela, 2019, For quartz = 2.65. $% For calcite = 2.72.
	Shiva R, 2021, Thank You @Sheela.



1559. If the cohesive force, (c), is 1.5 t/m2, the density (γ) of the soil is 2.0 t/m3, factor of safety (F) is 1.5 and stability factor (Sn) is 0.05, the safe height of the §lope, is
	Pratima Yadav, 2013, Safe Height of a slope, $%  $% H = (density of the soil* Factor of safety (F) * stability factor)/  Cohesive force (c).
	Piyush, 2014, Sn = (Cm)/(yH). $%  $% Safe height = (Sn*y)/(Cm).
	Piyush, 2014, H = (cohesive force)/(density of soil*factor of safety*stability factor).
	Suraj, 2016, H = c/Sn*y*f.
	Abhay, 2016, Stability factor (Sn) = Mobilized cohesive force/(Density of soil x Safe height of slope). $%  $% Sn = Cm/(γ*H) = C/(Fc*γ*H). $%  $% therefore H = C/(Fc*γ*Sn) = 1.5/(1.5*2*0.05) = 10 m.
	Suman, 2017, Sn = Cm/yH = C/FyH, $% H = C/FySn = 1.5/(1.5 * 2 * .05) = 10m.
	Sujit Bhakta, 2018, Taylor's stability number Sn is given by which one of the following expressions? ( c is the cohesion; Fc is the factor of safety with respect to cohesion; γ is the unit weight of the soil; H is the height of the slope)
	Junaid Khan, 2018, Stability no is defined as the ration of cohesive force to the (product of Factor of saftey*safe hight of retaining wall*unit weight of soil: mathematically it can be expressed as: $%  $% Sn=C/F*H*Y. $%  $% where $% Sn= stability no, $% C= cohesive force, $% F= Factor of safety, $% Y= unit weight. $%  $% Pluging values given in question in the above formula. $%  $% Sn = 0.05 $% C = 1.5 T/m^3 $% Y = 2 t/m^3 $% F = FOS=1.5 $% Safe Hight =  ?. $%  $% H = 1.5/(0.05*2*1.5) $% H = 10m is the safe height.
	Baloch, 2021, Sn = C/(FdH) or H= C/(FdSn).    $% H=1.5/(1.5*2*0.05) = 100/10 = 10 m. $% WHERE Sn= Stability factor =0.05, $%                C= Cohesive force =1.5, $%                F= factor of safety= 1.5, $%                d= soil unit weight = 2. $%                H= height of embankment= ? required.



1560. Pick up the correct statement from the following:
	Jyo, 2020, Quick sand is a phenomenon occurring in cohesionless soil. Cohesionless soil loses shear strength due to upward water flow. $%  $% Effective stress=0. $% I=Icr =Ysub/Yw =G-1/1+e.



1561. If W1, W2, W3 and W4 are the sequential weights obtained during observations in pycnometer method for determining water content, the formula to be used, is
	Apurva, 2021, Please anyone explain.
	Keerthi, 2021, W2- weight of sample+weight of pycnometer. $% W1- weight of pycnometer only. $% W2-weight of pycnometer +sample +water. $% W4-weight of pycnometer filled with water only.



1562. Si particles
	Nivruti Kamble, 2015, Define me Si particles?
	Rosh, 2016, Si = Silicon.
	Ajay, 2017, Examples. $%  $% Corn starch and water (oobleck) $%  $% Cornstarch is a common thickening agent used in cooking. It is also a very good example of a shear thickening system. When a force is applied to a 1:1.25 mixture of water and cornstarch, the cornstarch acts as a solid and resists the force. $% Silica and polyethene glycol. $%  $% Silica nano-particles are dispersed in a solution of polyethylene glycol. The silica particles provide a high strength material when flocculation occurs. This allows it to be used in applications such as liquid body armor and brake pads. $%  $% Quicksand $% Quicksand is a natural case of a shear thinning, non-Newtonian fluid. This is the opposite of a dilatant. As its strain rate increases, its resistance to shear will decrease causing the system to act more like a liquid than a solid. Hence, as one thrashes about in quicksand one sinks faster as the mixture's resistance decreases.



1563. Flow net is used for the determination of



1564. If the back fill is having a uniform surcharge of intensity q per unit area, the lateral pressure will be
	Rosh, 2016, It should be Kaq. Can anyone explain the given answer?
	Aamir, 2017, Can anyone explain it please?
	Kadak Launda, 2018, Answer will be d.
	Fano, 2018, Yes, Option D will be the correct answer.
	Baloch, 2021, How it is option D? Explain, please.



1565. Pick up the correct statement from the following:
	Shivam Kamboj, 2019, I think the answer should be A because if the present effective stress is more than the effective stress it ever been subjected then it is over consolidated clay.
	Kanth, 2020, Explain in detail.
	Prabhjot Singh, 2021, Over Consolidated clay is one which subjected to higher effective stress in present than that was applied in the past. Hence, all of the above is not a possible answer. $%  $% Thanks.



1566. Through a point in a loaded soil, the principal stress is maximum on



1567. Maximum size of clay particles, is :



1568. The capillary rise of water
	Seazzzz, 2015, Can someone explain me this? $%  $% Thank you!
	Rosh, 2016, It depends upon surface tension force.
	Razor, 2016, The capillary rise also depends on the water content of soil. Smaller the water content smaller the soil suction.
	Sunil Kumar, 2016, Smaller the saturation, greater is the soil suction.
	Pradipto Sarkar, 2018, H = 4*S*cos theta/density*d*g. $%  $% Where S equal to surface tension force.
	Amit, 2019, Capillary rise = 0.3/d  $%  $% where d=size of particle, so it depends on d or not?
	Kvk, 2020, Surface tension depends on both adhesion & cohesion.
	Rahul Khan, 2020, Capiliarty is depending on surface tension force.
	Viney Bhatia, 2021, Surface tension depends upon the Cohesion. $%  $% And capillary rise depends upon both cohesion and adhesion.



1569. Coulomb's wedge theory assumes that



1570. If dry density, water density and specific gravity of solids of a given soil sample are 1.6 g/cc, 1.84 g/cc and 2.56 respectively, the porosity of the soil sample, is
	S.Rajashekar Reddy Iiit Basar, 2014, Dry density of soil is = 1.6g/cc. $% Specific gravity of soil = 2.56. $% Density of water take it as = 1g/cc. $%  $% Then use the relation between dry density and void ratio,  $%  $% i.e,dry density of soil = (specific gravity*density of water)/(1+void ratio). $%  $% Here you got void ratio value then use the relation between porosity and void ratio. $%  $% Then you will get answer as 0.375.
	Ruby, 2014, 1.6 = (1*2.56)/(1+e); $% e = 0.6; $% n = e/1+e; $% n = 0.6/(1+0.6); $% Then n = 0.375.
	N Sameer Gupta, 2016, You calculated void ratio not porosity.
	Bhakt, 2016, Both are right @Rubby and @Reddy. $%  $% The void ratio is (e).
	Sudarsan Sahoo, 2017, Then what about the value of water density or what does that signify?
	Anonymous, 2017, If we have to take the density of water as 1 gm/cc then why 1.84 g/cc is given in question? $%  $% In order to get the right answer ignore the value given in question.
	Raval Chaitanya Vajendrakumar, 2017, The value of water density is given to find the right value of degree of saturation, $% As we have found void ratio = 0.6. $%  $% We have ,  $% e * s = w * g, $% => S = (.15 * 2.56)/0.6, $% => S = 64%. Where w = (1.84/1.6)-1.
	Satendra, 2017, @Raval Chaitanya. $%  $% How water content get .15?
	Munshi, 2017, Just remember that whatever value of water density is given we have to neglect it, density of water is fixed at 1g/cc.
	Doyel, 2017, Taking value of water density as 1.84 g/cc, answer comes to be 0.67. $%  $% Is not this the right answer?
	Leo, 2017, The answer must be o.65 by using this data.
	Ramnik, 2017, Here, Yd= G*Yw*(1-n).
	Kapil, 2018, Here, e is the void ratio. What is the actual formula to finding out the value of porosity? Please tell me.
	Biki, 2018, The water density is given as 1.84 g/cc , then how the answer is 375?
	Priyabrata, 2019, Thanks @S. Rajashekar Reddy.
	Abhik, 2019, By using the density of water the answer is 0.66.
	Saurabh Gupta, 2019, Here, the water density should be 1g/cc.
	Aman, 2019, Answer is 0.65 by taking the value of unit water.
	Aswathy, 2019, Here, $% Dry density, Yd=1.6g/cc. $% Specific Gravity, G=2.56. $% [Consider, water density, Yw as 1g/cc]. $% Porosity, n= e/1+e. $% Void ratio, e= (GYw/Yd) -1=((2.5*1) /1.6)-1=0.6. $% Then, porosity, n= e/1+e=0.6/(1+0.6) =0.375.
	Ravi, 2020, If water density is considered the answer must be .66.
	Vinod, 2020, If we take water density 1.84 then porosity will be 0.66.
	Ali, 2020, Dry density = (Gs*water density)/1+e. $% Water density = 1 g/cm^3. $% 1.6 = (2.56*1)/1+e,  $% e = 0.6, $% n = e/1+e, $% n = 0.375.
	Punyaprava Sethy, 2020, Instead of 1.84 take the standard value of density of water that is 1g/cc.
	P Chandrakala, 2020, rd=1.6g/cc ,r=1.84g/cc relation is rd=r/1+w. $% We get water content w= 0.15.
	Biswajit Kundu, 2021, I think it should be the wet density of the soil sample.
	Pkota, 2021, Agree @Abhik, $%  $% The answer will be 0.66.
	Shubham Narayankar, 2021, As we take the given value of water density then the answer will come porosity(n) =0.66 by giving confusion of water density the answer will come wrong, for correct answer yo can take water density =1g/cc. $%  $% Yd=((G*Yw)/(1+e)), $% Yd= 0.6, $%  $% n = e / 1+e = 0.375.



1571. Pick up the correct statement applicable to plate load test



1572. Terzaghi's analysis assumes :



1573. The fundamental equation of air content (ac), degree of saturation (Sr) and void ratio (e), is
	Swathi, 2016, It is not air content on the LHS, it is a percentage of air voids.
	Yogesh, 2016, Actually, $% ac + sr = 1. $% Hence, ac = 1 - sr. $%  $% But here, if we resolve the eq in the ans, we will get; $% ac = n(1-sr). $%  $% Is this valid?
	Heal, 2016, Here given C and D answer are same so which are correct?
	Souvik, 2017, Actually, it is not air content it is percentage air void.  $%  $% na= n*ac. $% & ac= 1-Sr.
	Mahendra Kumar Reddy, 2017, Actually, there in place of ac it should be na.
	Vikas, 2017, You are correct @Souvik.
	Anees Kumar Verma, 2018, Actually here is not air content, here is air voids.  $% ac+Sr=1,  ac=1-Sr. $% Na=ac*n,   n=e/1+e. $% Na=e(1-Sr)/(1+e).
	Protap, 2018, @Anees Kumar,  $%  $% What is Na?
	Biki, 2018, The percentage of air voids should be on LHS which is equal to porosity*air content, air content is equal to 1-S, porosity = e/1+e.
	Sadananda, 2019, This is not air content this is % air voids.
	Abhay, 2019, Air content = 1-degree of saturation.
	Raj, 2019, @Protap. $%  $% Na percentage of air voids.
	Mjm Gcek, 2021, Air content = 1-Sr this should be % air voids.



1574. A soil sample has passing 0.075 mm sieve = 60% liquid limit = 65% and plastic limit = 40%. The group index of the soil, is
	Deep, 2014, F = fineness constant. $% L.l = liquid limit. $% P.l = plastic limit. $%  $% Group index = (F-35)[0.2+(0.005)(Ll-40)]+0.01(F-15)(Pl-10). $%  $% G I = (60-35)[.2+(0.005)(65-40)]+0.01(60-15)(40-10). $%  $% Group index = 21.625.
	Vivek, 2015, Pl-10 = Plasticity index-10 = 25-10 = 15. $%  $% GI = 14.875.
	Harshitha, 2016, Which answer is correct. Can I know how to solve?
	Gokul, 2016, GI = 0.2a + 0.005ac + 0.01bd. $% a = P - 35 = 60 - 35 = 35. $% b = P - 15 = 60 - 15 = 45. $% c = LL - 40 = 65 - 40 = 25. $% d = PL - 10 = 40 - 10 = 30. $%  $% GI = (0.2 * 35) + (0.05 * 35 * 25) + (0.01 * 45 * 30) = 24.875. $% Therefore the correct option is D.
	Ranjan Patra,Bbsr, 2016, GI = 0.2a + 0.005ac + 0.01bd. $% a = P - 35 = 60 - 35 = 35. $% b = P - 15 = 60 - 15 = 45. $% c = LL - 40 = 65 - 40 = 25. $% d = PI - 10 = 25 - 10 = 15. $%  $% GI = (0.2 * 35) + (0.05 * 35 * 25) + (0.01 * 45 * 15) = 18.125 $%  $% Therefore the correct option is D.
	Vishu, 2016, The correct answer is 37.
	Roop Narayan (Nit Surat), 2016, GI = 0.2a + 0.005ac + 0.01bd. $%  $% a = P - 35 = 60 - 35 = 25. $% b = P - 15 = 60 - 15 = 45. $% c = LL - 40 = 65 - 40 = 25. $% d = PI - 10 = 40 - 10 = 30. $%  $% GI = (0.2 * 25) + (0.05 * 25 * 25) + (0.01 * 45 * 30) = 29.125 ans.
	Roop Narayan (Nit Surat), 2016, GI = 0.2 a + 0.005 ac + 0.01 bd. $% a = P - 35 = 60 - 35 = 25. $% b = P - 15 = 60 - 15 = 45. $% c = LL - 40 = 65 - 40 = 25. $% d = PI - 10 = 40 - 10 = 30. $%  $% GI = (0.2 * 25) + (0.05 * 25 * 25) + (0.01 * 45 * 30) = 29.125.  $%  $% Therefore the correct answer is (D)
	Giri, 2016, GI = (F-35) (0.2 + 0.05(wL - 40)) + 0.01(F - 15)(Ip - 10). $%  $% Where,  $% Ip = wL - Wp. $%  $% We get answer is 12.
	Samkit, 2017, The correct method is; $%  $% A = p-35 shud not be greater than 40, $% B = p-15 shud not be greater than 40, $% C = LL-40 shud not be greater than 20, $% D = Ip-10 shud not be greater than 20, $%  $% Put in GI = 0.2a + 0.01bd + 0.005ac. $% We get GI = 0.2*25+0.01 * 40 * 15 + 0.005 * 25 * 25. $% = 14.125.
	Ravi Kant, 2017, a = 60-35 = 25% $% b = 60-15 = 45% $% c = 65-40 = 25% $% d = PI-10 = (65-40)-10 = 15%. $%  $% GI = 0.2a + 0.005ac + 0.01bd = 0.2 * 25 + 0.005 * 25 * 25 + 0.01 * 45 * 15 = 14.875.
	Chaudhary, 2017, @Samkit  $%  $% GI = .2 * 25 + .01 * 40 * 15 + .005 * 20 * 25 = 13.5.
	Pinkesh, 2017, GI = . 2a +. 005ac +. 01bd. $%  $%  a = 25, $%  b = 45, bt not more than 40,  = 40, $%  c = 25, bt nt more thn 20, = 20, $%  d = 15, $% GI = . 2*25 +. 005*25*20 +. 01*40*15 = 13.5.
	Akash D Sajjanar, 2017, GI= 0.2a+0.005ac+0.01bd. $%  $% a= % passing 0.075 mm sieve (min 35 max 75)=  60-35= 25 (max value is 40 if >40 take a value as 40). $% b= % passing 0.075 mm sieve (min 15 max 55)=  60-15= 45 > 40 so take b=40. $% c= liquid limit max 40 = 65-40 = 25 > 20 so take c=20. $% d= plasticity index = 25-10 = 15 < 20 so d=15. $% GI = (0.2*25)+(0.005*25*25)+(.01*40*15)=14.125. $%  $% So, answer is GI=14.125.
	Praful Sl, 2017, Not 14.875, 14.125 is correct.
	Ganesh Sharma, 2017, Answer will be 13.5.
	Kamlesh, 2018, 16.125 is the correct and, $% a = 25. $% b = 40. $% c = 25. $% d = 20.
	Parteek, 2018, PI in the formula is Plasticity Index= LL-PL not Plastic limit which some person are taking in above answers.
	Debasmita, 2018, 14.875 is the answer.
	Inte, 2018, a= p-35 = 60-35=25<40 so ok $% b= p- 15=60-15=45>40 so take b=40 $% c= LL-40=65-40=25>20 so take c=20 $% d=plasticity index - 10=(65-40)-10=15<20 so ok $%  $% G. I.= 0.2a+0.005ac+0.01bd. $% G. I.=0.2*25+0.005*25*20+0.01*40*15. $% G.I. = 13.5.
	Danish Murtaza Zaidi, 2018, a = P - 35 = 60 - 35 = 25. $% b = P - 15 = 60 - 15 = 45. $% c = LL - 40 = 65 - 40 = 25. $% d = PI - 10 = 40 - 10 = 30. $%  $% Now,  $% GI= 0.2a+0.005ac+0.01bd. $% Thus, $% GI= 0.2(25)+0.005(25)(25)+0.01(45)(30), $% GI= 5+3.125+13.5, $% GI= 21.625  ~ 22, $% Option D is the answer.
	Prakash, 2018, @Danish Murtaza Zaidi. $%  $% You are almost correct. $%  $% In the Ip {plasticity index}  greater than 10% and not more than 30% ie. Range should be 1 to 20. $%  $% It means d=15-10=5. $% And hence the answer is 10.125.
	Chandan Sen, 2018, a=60-35=25,  $% b=60-15=45 not more then 40 so,  $% b=40, $% c=65-40=25, $% d=(65-40)-10=15, $% GI=0.2*25+0.01*40*15+0.005*25*25=14.125.
	Somer, 2018, If soil passing in 75micron is 15%, plasticity index is 6%, not mentioned the liquid limit, then what is the group index of soil?
	Naresh, 2018, No @All. $%  $% The group index should be rounded to nearest whole number suppose GI = 14.125 it should be rounded off to 14.
	Suprava, 2018, The Ans will be 13.5.
	Jeremiah, 2019, The correct answer is 13.5.
	Gui, 2019, Yes, the correct Answer 13.5.
	Amit Naik, 2019, The correct answer is option D. Agree with the given answer.
	Mn Yogi, 2019, GI = .2a +.005ac +.01bd. $%  $% a = 25, $% b = 45, bt not more than 40, = 40, $% c = 25, bt nt more thn 20, = 20, $% d = 15, $% GI = .2 * 25 +.005 * 25 * 20 +.01 * 40 * 15 = 13.5.
	Raj, 2019, 13.5 is the correct answer of this question.
	Bhuvi., 2019, 13.5 will be the correct answer.
	Pritam Yadav, 2019, a = (60-35) = 25 $% b = (60-15) = 45 is not more than 40 so let b = 40. $% c = (65-40) = 25 is not more than 20 so let c = 20. $% d= (60-15) = 45 is not more than 40 so let d = 40. $%  $% Calc., $%    G.I = (0.2x25)+(0.005x25x20)+(0.01x40x20) $%         = 15.5. $%  $% 15.5 will be the correct answer.
	Dheeraj, 2019, 13.5 is correct answer.
	Arnab Kumar Barik, 2020, Given:- % passing (P) =60%, LL = 65%, PL = 40%.  $%  $% We have GI = 0.2a+0.005ac+0.01bd.  $%  $% To get a,b,c and d value, we need Percentage passing 75 micron IS sieve, Liquid Limit and Plasticity Index. $%  $% So Plasticity index = LL - PL = 65-40= 25.  $% Now a= 60-35=25 (value is 0-40),  $%          b =60-15 =45 (value >40, so take 40),  $%          c= 65-40=25 (value > 20, so take 20),  $%          d = 25-10=15 (value between 0 to 20),  $% Now GI= 0.2 x 25 + 0.005 x 25 x 20 + 0.01 x 40 x 15 = 13.5.  $%  $% So the answer is D.
	Kvk, 2020, Correct @Pritam Yadav. $%  $% a & b should not be greater than 40. $% c  & d should not be greater than 20.
	Afiha, 2020, I think b value is zero as b is the percentage of soil passing through 0.074 mm sieve in excess of 15%, not exceeding 55%. But given here as 60% which is greater than 55%. So, I think b=0.
	Dhruba, 2020, The answer will be 14.875..so, The option none of these is the correct one. $%  $% GI= 0.2a+0.005ac+0.01bd. $% a= % of soil passing through 0.075 sieve - 35. $% b= % of soil passing through 0.075 sieve - 15. $% c= Liquid limit - 40, $% d= plasticity index - 10, $% Plasticity index= Liquid limit - Plastic limit.
	Mukesh Joshi, 2020, A is the correct answer guys. $%  $% 0.2a+0.01ad+0.005ac. $%  $% a = %particle passing through 75micron sieve and their given % should be lie between (35<a>75) means whose value ranges from (0-40) in this question given  value is 60% which means (a=60-35=25). $%  $% b=%particle passing through 75-micron sieve and lies between (15<b>55) which means (0-40) but in this question which is 60 % so it is not full fill our condition so b=0. $%  $% c =  liquid limit lies between (40<c>60) which lies on range (0-20) in this question which is 65% so, $%  $% c = 0 $% d = plasticity index lies between (10<d>30) on range (0-20) in this question which is P.I = 65-40=25. $%  $% So, its range is d = 25 - 10 = 15. $% d = 15. $%  $% Summary  $% a=25 $% b=0 $% c=0 $% d=15 $%  $% G.I = 0.2a + 0.01bd + 0.005ac. $%      = 0.2 * 25+0.01  * 0 * 15 + 0.005  *  25 * 0. $%      = 5.0 + 0 + 0 $% G.I =  5.0. $% So, A is the correct answer.
	Piyush, 2020, A=60-35=25 (0 to 40), $% B=60-15=45 (0 to 40) = 40, $% C=65-40=25 (0 to 20) =20, $% Ip=65-40=25. $%  $% D=25-10=15 (0 to 20), $% G.I = 0.2*a + 0.01*b*d +0.005*a*c. $% = 0.2 * 25 + 0.01 * 40 * 15 + 0.005 * 25 * 20. $% = 13.5. $%  $% So, here, option D is correct.
	Gaurav Sharma, 2020, GI = .2 * a +.005* a*c +.01*b*d. $%  $% a = P (% passing from 75-micron sieve ) - 40 (value not more than 40.. if more than 40 then take 40). $%  $% a= 60-35= 25 ok not more than 40.  $% b= P (% passing from 75 micron sieve ) - 15 (value  not more than 40.. if more than 40 then take 40),  $% b= 60 - 15  =45 ( not ok ) (take 40). $%  $% c= wL (liquid limit ) -40 (value  not more than 20.. if more than 20 then take 20),  $% c= 65- 40 = 25 (not ok ) ( take 20). $%  $% d= IP ( plasiticity index ) - 10,  $% d=( WL liquid limit( 65) - (40)WP plastic limit )- 10,  $% = 25-10 = 15 ok value less than 20.  $%  $% So , G.I = .2*25 +.005*25 * 25 + .01*40 * 15, $% and 14.125 is the correct answer.
	Arjun, 2020, G.I = 0.2 * a +0.005 * a * c+ 0.01 * b * d. $% G.I = 0.2 * 25 + 0.005 * 25 * 15 + 0.01 * 40 * 10  = 10.875. $%  $% a = P-35 = 60 - 35 = 25 ( 0-40 ) Hence adopt this value.  $% b = P- 15 =  60 - 15 = 45 (0-40) Hence adopt 40 . $% c =  LL- 40 = 65 - 40 = 15 (0-20 ) Hence adopt this value  $% d = PI - 10 = 65 - 40 - 10 = 15 (0-10) Hence adopt 10.
	Guri, 2020, You are right, thanks @Gaurav Sharma.
	Rajeev, 2020, GI = 0.2a + 0.005ac + 0.01bd. $% GI = 0.2(F-35) + 0.005(F-35)(WL-40) + 0.01(F-15)(IP-10).
	Pkota, 2021, GI = 0.2a + 0.005ac + 0.01bd. $% a = F-35 = 60-35 = 25. $%  $% Which is less than 40 so a=25 $% b = F-15=60-15 = 45 which is greater than 40 so take b=40 $% c = LL-40=65-40 = 25 which must not be greater than 20 so take c=20 $% d = Ip-10=(LL-PL)-10 = (65-40)-10=15 $% GI = 0.2*25 + 0.005*25*20 + 0.01*40*15, $% = 5 + 2.5 + 6 = 13.5.
	Omi, 2021, Agree @Vivek $%  $% 14.875 is the right answer.
	Md Imran, 2021, Right @Pkota. $%  $% I too agree, the answer is 13.5.



1575. The plasticity index is the numerical difference between



1576. The fundamental equation of specific gravity (G), dry density (γd), unit weight of water (γω) and void ratio (e), is
	Wajahat, 2021, rd = r/1+ e. $% while r  =Gx rw.



1577. Negative skin friction on piles
	Ravi Kumar, 2017, All of the above, because in soft soils the pile is driven due to its self-weight only. So, in this case the direction of friction is in downwards, the settlement will be more and bearing capacity will also decrease.
	Rabindra, 2018, How does it decrease the pile capacity? Anybody explain this.
	Kuruva Chandranna, 2018, If a pile surrounded by soil settles more than pile settlement a downward force acts on pile, due to this downward force the additional load is acting on pile, so pile capacity is reduced.
	Hussain Azam, 2019, Absolutely Right @Kuruva Chandranna.



1578. The ultimate bearing capacity of a soil, is
	Yohannes Negasi, 2016, Thanks for posting this question.



1579. Transporting and redepositing soils, is done by



1580. A moist soil sample of volume 60 cc. weighs 108 g and its dried weight is 86.4 g. If its absolute density is 2.52, the degree of saturation is
	Rhg, 2014, Volume of sand = 86.4/2.52 = 34.28. $%  $% Volume of voids = 108-86.4 = 25.72. $%  $% Volume of water = 60-34.28 = 25.72.
	Raihan, 2015, r dry = r/ (1+w). $%  $% r dry = (86.4/60) =1  $%  $% 44r = 2.52. $%  $% Water content = 25%. $%  $% Dry = Grw/(1+e)e = 75%. $%  $% r = (G+ESR)row/(1+e). $%  $% So degree of saturation = 84%.
	Abhay, 2016, Υd = G.Υw/(1+e). $%  $% Υd   = Ws/V = 86.4/60 = 1.44. $%  $% = 1.44 = 2.52*1/(1+e). $%  $% => e = 0.75. $%  $% w = Ww/Ws = (108-86.4)/86.4 = 0.25. $%  $% e*Sr =w*G. $%  $% = 0.75*Sr = 0.25*2.52. $%  $% Sr = 0.84 i.e. 84% answer.
	Bhaskar, 2017, Y=108/60=1.8, $% Y(dry)=86.4/60=1.44, $% G=2.52. $% Now Y=Y(dry)(1+w),, $% w=0.25. $%  $% Y(dry) = GY(w)/1+e, $% e = 0.75. $%  $% Se = wG, $% S =.25 * 2.52/0.75, $% S = 84%.
	Kishan Datta, 2017, Step1) bulk density(yb)= W/V=108/60=1.8. $%  $% Step2) dry density (yd)=Wd/V=86.4/60=1.44. $%  $% Step3) water content determination(w) $% Yd=Yb/1+w $% So 1.44= 1.8/1+w $% So 1+w = 1.8/1.44 $% So   w = (1.8/1.44)-1 $% So,  w=  1.25-1= o.25 $% w = 0.25. $%  $% Step4) void ratio determination $% Yd=G.Yw/1+e $% 1.44= 2.52/1+e $% e= (2.52/1.44)-1 $% e= 0.75. $%  $% Step5) degree of saturation determination(SR) $% SR= WG/e $% Sr= 0.25*2.52/0.75 $% Sr= 0.84 $% Sr= 84%. $%  $% So, the answer is 84%.
	Shashank, 2018, The Critical hydraulic gradient (i) = G-1/(1+e).
	Anomie, 2019, Thanks for the explanation @Anand Joshi.
	Jonty, 2019, Well said Thanks @Abhay.
	Joti, 2019, Thanks @Bhaskar.
	Balvinder, 2020, How you guys are taking G=2. 52? $%  $% Please explain.
	Wakas, 2020, @Balvinder. $%  $% Even if the absolute density is given, we get relative density by dividing it by density of water which is in our case 1g/cc and absolute density should have been 2.52 g/cc. $%  $% It should have been Relative Density instead of absolute density.
