3297. A district road with a bituminous pavement has a horizontal curve of 1000 m for a design speed of 75 km ph. The super-elevation is
	Yugananth P, 2013, e = V^2/225R. $%  $%   = 75 * 75/(225*1000). $%  $%   = 1/40 (or). $%  $%   = 1 in 40.
	Bapai Baishya, 2017, The correct answer is only DPC.
	Aarti Nepal, 2017, In question, thickness is specified so answer is correct, all are measured in sqm in case of thickness specified.
	Burhan Ali, 2018, E is the right answer. I agree.



3612. Pick up the correct statement from the following:
	Raj, 2016, Explain the description.



3613. The expected out turn of cement concrete 1 : 2 : 4 per mason per day is
	Sandeep, 2015, How to calculate?
	Pj_Baba, 2015, @Sandeep.  $%  $% These are standard values. You just have to remember them.
	Prabhakar, 2015, The standard value how is it come?
	Abhilasha, 2016, How it comes, and these values are considered as standard value?
	Kashi, 2016, 1 skill and 4 unskilled labour are required to completed the one cum concrete work. So out turn of per mason per day is not 5.
	Sima, 2016, Can anyone explain this answer briefly?
	Madan Mohan Reddy, 2016, The question should be specified whether concrete mixing or placing or finishing in detail.
	Ashish, 2016, It should be 3.5 m3.
	Naveen, 2016, How to calculate it?
	Suresh, 2016, Out turn is work done by a skilled man in one day.
	Abhisek Roy, 2017, How to calculate it? please explain.
	Sundar, 2017, Anyone please explain it clearly.
	Malay Dey, 2017, How it is calculated? Please explain in detail.
	Pandiyarajan, 2017, Please give the answer & explain it. $%  $% The expected out turn of cement concrete 1 : 1.5 : 3 per mason per day is?
	Nadee, 2017, 1 : 2 : 4 concrete, 1m3 need  Labour constant. $%  $% Mixing concrete -------->  3.00 hour/m3. $% Lifting and carrying concrete --------> 1.20 hour/m3. $% c.compacting concrete -------->  0.80 hour/m3. $% d.leveling surface of concrete  --------> 0.10 hour/m3.  $% Total=(3+1.2+0.8+0.1) = 5.
	H.J, 2017, 1 : 1.5 : 3 material and grade is different. But labour constant is same. So, the answer 5.
	King, 2017, 1:2:4 it means M15 grade it means work in foundation which 5m^3 per mason per day.
	Naven, 2018, 100 M3 for 13 masons. $%  $% Per one mason =100/13=7.69m3 dry concrete, $% Dry concrete= 1.52*wet concrete, $% So wet = 7.69/1.52= 5 m3.
	Sunnyod, 2019, Explain it.
	Arun Prasad, 2019, For 10 m3 of cement concrete work. $%  $% Masons needed are 2. $% Hence there is one mason, then the quantity in m3 is 5m3.
	Shubham Verma, 2019, That is cement concrete so the answer is 5 m^3. $%  $% If they use reinforced cement concrete so the answer will be 3 m^3.
	Mun Chakrabortty, 2020, 1:2:4 rcc work = 3.25 m3,  $% Cement concrete = 5m3 per mason.  $%  $% Here, asked about  " cement concrete" so answer 5 m3 per mason.



3614. The area of the cross-section of a road fully in banking shown in the given figure, is
	Shivam, 2015, Please also give the meanings of S, s, r and b.
	Sak, 2016, Please explain in detail.
	Abhilasha, 2016, Give me the explanation of the problem.
	Tirth, 2016, Give me the proper explanation.
	Abhimanyusarkar, 2016, I think the correct answer is sb^2 + r^2(2bd+sd^2) that is the answer (D).
	Arghajit, 2016, Give the way how this is done?
	Kshitija, 2016, Agree @Abhimanyusarkar.
	Janirul Islam, 2017, Give the explanation of the answer.
	Venugopal, 2017, Give the explanation of the answer.
	Garry, 2018, Agri @ Abhimanyu Sarkar. $%  $% The correct answer should not contain a square but it is s d^2.
	Zahir, 2018, It's sd^2.
	Mahimarao, 2020, The given figure is earthwork filling that way option C is correct.



3615. The plinth area of a building not includes
	Shaikh Aamer, 2014, All A B C D includes in plinth area calculation but only cantilevered porch area is not considered in plinth area calculation. $%  $% Hence, $% Question should be asked such that the plinth area of a building does not includes?
	Nadee, 2017, Plinth area the following shall not be included, $%  $% 1. Area of loft. $% 2. Area for architectural features like patties, bands, cornice, slab projections etc. $% 3. Terrace area. $% 4. Open staircase. $% 5. Lift machine room. $% 6. Head room at terrace level.
	Somu, 2018, What is cantilevered porch? $%  $% Kindly explain it.
	Jimmy, 2018, @Somu. $%  $% Porch means a covered shelter projecting in front of the entrance of a building.
	Amar, 2018, Agree @Shaikh Aamer.
	Mainak, 2019, What is stair cover?



3616. For 12 mm thick cement plastering 1 : 6 on 100 sq.m new brick work, the quantity of cement required, is
	P Takhe Lomdak, 2013, How it is calculated out please tell me the procedure?
	Mukund, 2013, Total volume = 100*.012 = 1.2cum. $%  $% 30% more mortar required so 1.2+ (.3*1.20) = 1.56cum. $%  $% Now also to get dry volume of mortar, wet wet volume may b further increase by 25%. $%  $% So volume of dry mortar = 1.6+ (1.56*.25) = 1.95cum. $%  $% Now proportion = 1:6. $%  $% So volume of cement = (1/7) * 1.95 = 0.2785 (ans).
	Chandu, 2014, Given volume = 100*.012 = 1.2cum. $%  $% Increase mortar by 30% = 1.56cum. $%  $% For volume of dry mortar increase 25%= 1.56+ (1.56*.25) = 1.95cum. $%  $% Now proportion = 1:6. $% k+6k=7k. $%  $% So volume of cement = (1/7) * 1.95 = 0.2785. $%  $% This is the correct answer.
	Ajay Saini, 2014, You can take 30% for uniform wall and 25% for dry volume i.e. total 55% Now 10x10x0.012 = 1.2 hence (1.2/1+6)+(1.2/1+6)x55/100 = 0.2785.
	Pritam, 2014, How could you take, extra 30% morter?
	Piyush Singh, 2014, Volume of plaster = area * thickness = 0.012*100 = 1.2 cum. $% Increase this by 30 % therefore = 1.2*1.3 = 1.56 cum. $% For volume of dry mortar = 1.25*1.56 = 1.95 cum. $%  $% Now 1 part is of cement and 6 part is of sand so, $% Cement = (1/7) *1.95= 0.2785 volume of cement. $% Volume of one bag of cement = 0.035 cum. $%  $% So no of bags required = 8 bags.
	Nivas, 2014, Is is possible go around 55% volume extra for dry & wet mortar?
	Abhijit Mandal, 2016, Volume of plaster = 0.012*100 = 1.2 m^3. $%  $% Add 20% depression & wastages volume of plaster = 1.2+1.2*20% = 1.2+0.24 = 1.44. $%  $% Add 1/3 dry volume = 1.44+1.44*1/3 = 1.44+0.48 = 1.92 m^3. $%  $% Cement = 1.92*1/7 = 0.274 m^3.
	Adebola, 2016, I think answers may vary because one may decide to allow 10-20% for wastage& 30%-35% for shrinkage.
	Brijesh Vishwakarma, 2016, Volume of plaster = 0.012 * 100 = 1.2 m^3. $%  $% Add 60% for new wall depression & wastages volume of plaster = 1.2 + 1.2 * 60% = 1.92 cum. $%  $% Cement = 1.92 * 1/7 = 0.274 m^3.
	Puja Mandal, 2016, According to me, it is .012 * 100 = 1.2, dry wt = 1.54 * 1.2 = 1.848, 1.848 &div; 7 = .264.
	Aaina, 2017, If it's 15mm thick then what is the answer?
	Arjun, 2017, As per my solution,  it's 33 percent extra why you are taking 30 percent?
	Sufazo, 2017, According to this answer, they taking 60% extra => 1.2 * 60/100 = 0.274.
	Shahanshah Khan, 2017, I think dry value taken so large in solution maximum take extra 20% to 30%.
	Mohit, 2017, If it is 15 mm thick than answer is .345 cum.
	Salma, 2018, 1*100*. 012*1. 54/7 =. 274.
	Adhiyaman, 2018, Thanks to all.
	Mohit Motwani, 2018, Volume of mortar required= 100*.12 = 1.2. $%  Total 60% of volume increases for dry mortar $% 1.2+ (.60* 1.2)= 1.92. $%  $% Now volume of cement = 1/7 * 1.92= 0.2743.
	Muthu Nayak, 2018, dry vol=area*thckness*1.3*1.25. $% dry vol=100*0.012*1.3*1.25. $%            =1.95cum, $%  $% Cement=1.95/1+6, $% Cement=0.278cum,
	Sachin Das, 2018, For 1 m3, $% Dry volume = 1m3, $% Wet volume is 35% of dry volume, $% So we have to take. $%  $% 1: 6 = 1.35 ( 1.35 m3 become 1m3 after adding water in mortor....and for concrete we take 55%....1.54m3 = 1m3). $% 1+ 6 = 7........1.35/7 = 0.193 cement required per m3, $% Volume = 12/1000 * 100 = 1.2 m3, $% Required cement volume= 1.2 * 0.193 =0.23.
	Naveen Srivastava, 2018, 0.278 is the incorrect answer. $%  $% There is no need to add an extra 25%.  $% It's Converted to wet volume to dry volume by 1.30. $% The Correct ans is 100 * 0.012 * 1.30 = 1.56 * (1/7) = 0.222cum.
	Deepak, 2018, Why to increase by its 30%?
	Matiur Rahaman, 2018, Given thickness of plaster = 12mm = 12/1000 m = 0.012m. $% Ratio (1:6). $% Since you have not given assume that 100 sq M of plaster is Done. $% Thus volume of plaster = 100 x 0.012 =1.2 cum. $% Add 60 % for unevenness of plaster surface and voids. $% Total volume of plaster work = 1.2 + 60/100 x 1.2 =1.92 cum. $% Volume of cement = 1.92/(1+6) =0.274 cum.
	Ramvir Singh, 2018, @All  $%  $% We will take 60% extra of total Volume for water and joint filling between the bricks. So, 1 for 15mm thick plasters the answer is 0.3428 m3 and For 12 mm thick plaster it is 0.2742 m3.
	Shree, 2019, Wet mix mortar for uniform layer =12/1000*100 = 1.2 cum. $%  $% Adding 30% to fill up joints, uneven surface, $% Then, Quantity of Mortar =1.2 + 1.2*30% =1.56 cum. $% Increasing 25% the dry volume = 1.56+1.56*25%= 1.95 cum. $% Total parts (C:S) = 1+6 =7. $%  $% Then, Cement = 1.95/7 = 0.278 Cum = 0.278/0.0347 = 8 Bags Cement required.
	Bharat, 2019, Thanks all.
	Govind, 2019, Thanks everyone for explaining the solution.
	Jigme, 2019, Thank you all for explaining the answer, clearly.
	Dinesh Sunar, 2019, Area to be plaster = 100m^2. $% Thickness of plaster = 12mm = 0.012m. $% The volume of plaster = 100x0.012 = 1.2m^3. $%  $% Adding 20%of wet volume,  $%      = 1.2+1.2x20% = 1.44m^3. $%  $% Increase the wet material by 1/3rd volume in order to get dry volume.  $%  $% The volume of dry material = 1.44+1.44x1/3. $%                  , ,,                       = 1.92 m^3. $% Now, volume of cement = 1/7x1.92 = 0.274.
	Hari, 2020, Why we take 30% extra? Please explain.
	Kaku, 2020, The correct answer is 0.2228m3.
	Jon, 2020, Why take 30% extra here? Please explain me.
	Lilly, 2021, Adding 30 per extra for uneven surface and to fill up joints.



3617. The minimum width of a septic tank is taken
	Naveen, 2015, Why 75 cm that is less to compare to septic tank is having big structure?
	Nazibulla Laskar, 2016, It will be 90 cm.
	Bijoy Aich, 2016, The correct answer is 90cm.
	Anjali, 2016, Yes, the correct answers is 90 cm.
	Ilias Mondal, 2016, Septic tank shall have the minimum width of 750 mm. Minimum depth of one meter. Below water level and minimum liquid capacity of 1.000 liters (75cm).
	Suresh, 2016, Great job. Thanks @lias Mondal.
	Titan, 2017, 75 cm will be the right answer.
	Arvind Yadav, 2018, Correct answer is 90 cm.
	Lavishh, 2018, Septic tank shall have minimum width of 750 mm, minimum depth of one metre below water level and a minimum liquid capacity of 1 000 litres so 75cm is right answer.
	Yasir, 2018, I think 60 is the right answer.
	Manzoor, 2018, As per B N Dutta, the minimum width is 60 cm.
	Vinit Kumar, 2018, 60cm is the correct answer, according to my knowledge.
	Gkp, 2018, Minimum width is 75 cm and minimum depth is 90 cm.
	Kamal Kant Katwal, 2018, Minimum width is 60 cm + partition wall 15 cm = 75 cm  and minimum depth is 90 cm + free board 30 cm = 1.2m.
	Shaik Azu, 2018, As per is 2470(part 1):1985--minimum width 750 mm, $% Min capacity 1000 litre, $% Min freeboard 300 mm, $% Min grade of concrete for septic tank m15.
	Amu Bokato, 2019, 90 mm is the depth not width which is 75mm.
	Ajay Sharma, 2021, 75mm is the correct answer.



3618. The item of the brick structure measured in sq.m, is
	Sudarshan, 2015, If we say broken glass coping that should be in running meters only.
	Rocky, 2016, I think the given answer is wrong.
	Anil, 2016, What is the correct answer?
	Shah, 2016, It is confusing, please explain me clearly.
	Suresh, 2016, What is broken glass coping. Can anybody say?
	Vicky, 2017, Why not option C?
	Arijit, 2017, The correct answer is brick edging.
	Moharsingh, 2017, Brick edging in meter. $%  $% So, the answer is c.
	Ivy, 2017, I think Option C is the correct answer.
	Sambhaji, 2017, Brick on edges measure in sq-m also then why not option c?
	Rakesh Kumar Meena, 2018, I think A is right.
	Suman T, 2018, Brick Edging measured in Running Metre.
	Shubham, 2018, Option C is the correct answer.
	Shekhar Pali, 2018, As per is 1200 part 3 - 1976.  $%  $% Broken glass coping measure in sq.m.
	Don, 2018, Thanks @Shekhar pali.
	Ravi, 2018, I think it is Brick on edge.
	Preetam, 2019, What is broken glass coping?
	Sajana Abdul Salim, 2019, What is broken glass coping?
	Sanket, 2019, The slope on top of compound wall made by brick is brick coping.
	Abdul Latif, 2019, The answer is correct. Coping is usually provided on top of the parapet wall, boundary wall, etc the main purpose is to safeguard the structure from rain and another seasonal effect. Broken Glass coping is the type of coping in which broken pieces of glass (which is taken by weight) are immersed partially in cement concrete paste after placing. It can be seen on low-cost boundary walls everywhere.
	Lekhnath, 2020, I think brick edging is the correct answer because it ask for brick structure and broken glass couping can be done in any structure.
	Mithun, 2021, Option C is the correct answer.
	Rajendra, 2021, Why not option C? Explain please.
	Marcosars, 2021, @Mithun @ Rajendra. $%  $% Brick edging is measured in meter, or running meter, which means in terms of length, whereas in this question it has been asked for sq.m.



3619. The inspection pit or chamber is a manhole provided in a base drainage system



3620. In the mid-section formula
	Bhawana Dubey, 2017, What is mid sectin formula in num?
	Ranjeet Singh, 2018, Explain the Answer, please.
	Mainak, 2019, What is the difference between original section and section?



3621. The item of steel work which is measured in sq.m, is
	Lalit, 2013, Please explain how can we prepare detailed estimate of a ms gate?



3622. The value of 'C' of Indian type W.C. shown in the given figure is : 
	Deepanshu, 2014, The value of A is 300mm and B is 450 mm.
	Saravanan, 2015, How the answer should correct?
	Shahida, 2016, How the answer solved? Describe it.
	Rupesh Patil, 2016, How the answer solved? Please Describe it.
	Ajay Singh, 2016, INDIAN TYPES WATER TRAP IS 55CM. $% But the ratio is 50 to 75 cm.
	Manasi Mokal, 2017, What is the exact value of A & B?
	Dpk Rwt, 2017, A*B*C = 300*450*500.
	Digambar, 2018, @Dpk Rwt. $%  $% How did you say exact value of ABC?



3623. The area of a sloping surface of a protective embankment of mean height d, side slopes S : 1 and length L is
	Kamruz, 2017, It should be D.
	Binay, 2017, Please anyone explain the answer.
	Apurba Maity, 2017, The answer will be D.
	Abhijeet, 2017, C is correct. $%  $% D is for total area means for both side slopes.
	Murali, 2017, D is the correct option.
	Bhoopendr, 2017, Side wall width=d*√(1+s^). $% Area of side wall =width*length  $% So L*d*√(1+s^) is one sloping side.
	Tanu, 2018, Here area of side slopes at both faces; $%  $% 2LD√(1+s^2), so the answer should be an option (D).
	Tanu, 2020, I think the answer should be (D) as area of the sloping surface of a protective embankment indicate both sides of the section.
	Bhargab, 2020, C is correct. Because in question, they want the area of slopping side. So only one sloping sides area will be the answer.
	Mjm Gcek, 2021, The answer should be D as here it is not asked for only one side of slope hence we will consider both side of slopes.
	Rc, 2021, Actually, they have asked area of "a " sloping surface which in itself means one sloping surface.



3624. If the formation level of a highway has a uniform gradient for a particular length, and the ground is also having a longitudinal slope, the earthwork may be calculated by



3625. The most reliable estiamte is
	Dhivya Maniraj, 2016, Because it only has important estimate than any other estimate.
	Utsav, 2018, Rough estimate is Plinth area estimate.



3626. The expected out turn of 12 mm plastering with cement mortar is
	Nizam, 2015, How it is calculated?
	Puja, 2016, How it is calculated, can anyone explain me?
	Soppanna, 2016, Can you please explain the calculation?
	Abhilasha, 2016, Can anybody know the method for solving the solution. Please explain it.
	Md Aftab, 2016, How it is calculated? Please describe the method.
	Ram, 2016, How it is calculated, can anyone explain me?
	Subrata Dhua, 2016, As per estimate book by M. Chakraborty, It is 10 sq m.
	Amar, 2016, How it is calculated? Please give me the explanation.
	Saddam Baloch, 2016, Give the detailed solution, please.
	Teju, 2016, The correct answer is 2 cub m for 12 mm plaster. $%  $% And 3 cub m for 20 mm plaster.
	Norbu Jamtsho, 2016, Can anyone explain me, how it is calculated?
	Mohan, 2017, I think it's just an out turn of Mason per day.
	Ankit, 2017, I think it is 10 sq m.
	Kishan Singh, 2017, It is fixed by PWD. $%  $% That a mason can plaster 8 sq mm.
	Madhu, 2017, Option E is right.
	Aamir, 2017, I also think the correct option should be 10.
	Farooq, 2017, It shuold b 10 m3. 8m3 is for 6mm.
	Mohammad Yasir, 2018, 8 sq mtr is the correct answer. I agree with the given answer.
	Lalan, 2018, The outturn mean efficiency of one Mason is 8sq.m.
	Vishnu, 2018, Here, Expected out turn means = How much square meter of plaster of 12 mm thickness can be done by per mason per day. $%  $% Which is taken as 8 square meters per mason per day i.e. it means a Mason is expected to do 8 sqm of plastering of 12 mm thickness per day.
	Ram Krishna, 2021, Anyone, please give the clear details about it.



3627. The main factor to be considered while preparing a detailed estimate, is
	Ahsan, 2020, Explain the answer.



3628. The damp proof course (D.P.C.) is measured in
	Nazibulla Laskar, 2016, According to B. N Dutt DPC is measured in running meter. So the unit wd be meter.
	Abrar Syed, 2017, Length and breadth are measured. Height is negligible.
	Opsc Aee, 2019, Give answer is correct. $%  $% DPC - sq m. Uses - M20.



3629. The reduced levels of points, 30 metres apart along the longitudinal section of a road portion between chainages 5 and 9 are shown in the given figure. If there is a uniform up-gradient of the road 120 in 1, the chainage of the point with no filling or cutting is 
	Saikumar, 2015, How it is calculated?
	Prabhakar, 2015, How it is taken?
	Gance, 2015, 1 in 120. $%  $% So for 30 m there is rise of 0.25 m. $%  $% R.L of formation level at 6 chain = 100+0.25 = 100.25. $%  $% Now apply the similar triangles as 1/x = 1.5/(30-X). $%  $% Where, 1 = 100.25-99.25. $%  $% x = 12. $%  $% So the answer B.
	Ashik, 2016, Can you explain it? Please.
	Kamruz, 2017, I think it is A.
	Asmaul Husna, 2017, @Gance.  $%  $% Where is 1.5 from?
	Karthick, 2017, 6+ 12 chain how?
	Vishnu, 2017, Can anyone explain clearly?
	Chandra, 2017, How this will occurs?
	Maya, 2017, @6 difference b/w level is (100.25-99.25)=1. $% @7 RL=100.25+0.25=100.5. $%  $% So difference= 102-100.5=1.5, $% let x be distance at no filling or cutting, $% distance b/w 7 and 6 is 30, $% By similar triangle, $% 1 -> x, $% 1.5 ->30-x.
	Liam Payne, 2018, The number of neutrons will be 6 so the total number becomes 6 + 6 is equal to 12.
	Mainak, 2018, 99.25+(2.75/30)*x = 100+(x+30)/120. $%  $% By solving it x=12m from chainage 6 towards ch. 7, so answer will be (6+12).
	Abhishek, 2018, It is (6+8) chains.
	Debika, 2020, Please, explain this.
	Koshy, 2020, Actually, none of the answers is correct. $%  $% From calculations, we get that the formation line intersects the ground surface at a distance of 12m from chainage point 6. (let us call this point 'X'). $%  $% Also, when chainage is represented as (A+B) chains, it refers to "A chains" and "B links".  $%  $% Since the distance between consecutive chainage points is 30m, we can say that a 30m metric chain is used for chaining and a 30m chain has 150 links, each 20cm (or 0.2m) long. $%  $% So, number of links between the points '6' and 'X' = (distance between points '6' and 'X') / (link length). $% = (12)/(0.2)  $% = 60. $%  $% Hence, the correct way of representing the point 'X' is (6+60) chains.
	Sanjay, 2021, I think the correct answer is 6+14 chains.
	Misba W, 2021, Gradient given is 1:120 $% So for 30m rise of = (1/120*30), $% = 0.25 m. $%  $% RL of formation level @6 chain = 100.0 + 0.25. $%  = 100.25 m. $% RL of formation level @7 chain = 100.25+ 0.25 $% =100.5 m. $%  $% So difference = 102-100.5 = 1.5. $%  $% By similar triangles - $% (1/x) = 1.5/(30-x) $% X = 12. $%  $% So the answer is (6+12) chains.



3630. The area is measured correct to the nearest



3631. Cost of fittings and their fixing is specified for the following sanitary fittings



3632. The volume is measured correct to the nearest
	Dhivya, 2019, Actually, the volume is measure 0.001 m^3.



3633. Pick up the correct statement from the following:



3634. Pick up the item whose weight is added to the weight of respective item, is
	Asmaul Husna, 2017, Please explain it clearly.
	Urukundu, 2020, Please explain any one.



3635. The total length of a cranked bar through a distance (d) at 45° in case of a beam of effective length L, is
	Jagdish, 2018, How? anyone explain me please.
	Anjali, 2019, How it is come? Please explain the answer.
	Mohd Asif Khan, 2019, Length of crank bar on one side= d/sin@ - d/tan@ $%                                                          = d/sin45° - d/tan45° $%                                                           =0.42d. $% Therefor total length of cranked bar on both sides = (L+2x0.42d).
	Sachin S Naik, 2020, If bar cranked at 30 then extra length will be 2*0.27d.
	Danish, 2020, Here it is not mentioned that crank is on both sides. So the answer must be A. $% Crank is provided to resist negative BM.  $% Crank is provided to resist shear force.
	Arun, 2020, Option A is correct because it is not mentioned about the crank on both sides.



3636. While estimating a reinforced cement structure, the omitted cover of concrete is assumed
	Archana, 2018, Please tell me where to find these type of information? Is there any code available?
	Rohit, 2018, Yes, right @Archana.
	Hisham, 2020, What is omitted cover?



3637. The excavation exceeding 1.5 m in width and 10 sq.m in plan area with a depth not exceeding 30 cm, is termed as
	Saurabh, 2015, What is the difference between excavation and cutting?
	Manish, 2017, The answer is wrong. It should be "B" surface dressing.
	Roy, 2017, Surface dressing upto 15 cm depth and surface excavation upto 30 cm depth. So given answer is correct.
	Manish, 2018, Here depth is less than 30cm so the right answer may be B.
	Sumit Kumar Prajapati, 2021, Surface Excavation. $%  $% Excavation exceeding 1.5 m in width as well as 10 m2 on plan but not exceeding 300 mm in the depth shall be described as 'surface excavation' and measured in square metres. $%  $% Surface Dressing: $%  $% Trimming of natural ground, excavated surface and filled up area to remove vegetation and/or $% small inequalities not exceeding I50 mm deep shall be described as surface dressing and measured in square metres.



3638. Pick up the incorrect statement from the following:
	Rahul Sawant, 2016, Cubic contents are measured to nearest 0.01 cum.
	Raja, 2019, It's 0.01 m3.
	Revathi, 2019, Weight measuring nearest value 0.01 tonnes. Is it correct? Please tell me.
	Abdul Latif, 2021, @Revathi. $%  $% The weight is measured to the nearest 1 Kg which in tonne is 0.001.



3639. If tensile stress of a steel rod of diameter D is 1400 kg/cm2 and bond stress is 6 kg/cm2, the required bond length of the rod is
	Deepanshu, 2014, Bond length or development length = d*tensilestress/4*bond stress. $%  $% D*1400/4*6 = 58.33.
	Pawan, 2014, Ld = fi sigma st / 4 tou bd.
	Salem Basha, 2016, Ld = 0.87Fy/4 τ bd. $%  $% This will gives answer as 50.75. $%  $% So answer will be 50 times the diameter.
	Mohan, 2017, Ld = 1400/(4 * 6).   $% = 58.3 =>59.
	Pawan, 2017, Bond length = tensile stress * Diameter of rod/(4 times bond strength). $% = 1400 * D/(4 * 6), $% = 1400 * D/24, $% = 59D.
	Pradeep Patel, 2017, Acc. to wsm Ld = (1400*D)/(4*6) = 58.33. $% Acc. To LSM Ld=(.87 *1400 *D)/(4*6) = 50.75.
	Kanhaiya Kr., 2017, (D*1400)&div;(4*6)=58.33, $% Say=59D.
	Kundan Kumar, 2018, Ld = .87fy * D/4 * τbd.
	Anand, 2018, It is [fy*tensile strength]/4*bond stress.
	Alexrampee, 2018, Fy is not equal to σ.
	Jinish Patel, 2019, The increase of length due to bending stress is called bond length.  $%  $% Bond length = (diameter/4)X stress/strength. $%  = 1400x D/ 4x6. $%  = 59 D.
	Ranu Kumar, 2020, Answer will be 50D.
	Sabina, 2020, Tensile stress = 1400. $% Bond stress = 6. $% Bond length = 1400*D/4*6 = 58.33. $% Hence, the answer is 59D.



3640. The measurement is not made in square metres in case of
	Vhjvj, 2015, What is Concrete Jaffries?
	Ajay Singh, 2016, Please tell me about the jaffries.
	Shim, 2016, What is Jefferies?
	Krishan Suthar, 2017, @Shim. $%  $% I think, laying concrete on the surface like plastering is Concrete Jaffries.
	Chetan Singhal, 2017, Bori used for curing is jagfries.
	Nirmal, 2017, Can anyone tell which option is right? I think B option.
	Shyam, 2017, B is right answer because formwork is measure in cum.
	Diksha, 2017, No, the Formwork is measured in sqm.
	Siddhant Umare, 2017, Rcc chajha
	Shubham Soni, 2018, RCC Chajjha because its Thickness considering in concreting that's why measured in Cubic metres.
	Asif, 2018, Please give the clear explanation of the answer.
	Shabaz Khan, 2018, I think that DPC thickness will be less than RC Chajja.
	Anbu, 2019, A Chhajja is the projecting or overhanging eaves or cover of a roof, usually supported on large carved brackets.
	Vijay Kumar, 2020, Quantity of concrete required for rc chakha is measured in cubic meter.
	Sabzar, 2021, Chajja is measured in running meter.
	Elizabeth Sunny, 2021, As per DSR, R.C. Chhajja is measured in m3.



3641. According to ISI method of measurement, the order of the sequence is



3642. The assumption on which the trapezoidal formula for volumes is based, is



3643. The cross-sections for a highway is taken at
	Rohan, 2021, Please explain the answer.



3644. The detention period in a septic tank is assumed
	Dileep, 2015, Can you give me an explanation about this in detailed?
	Bhinda, 2016, I think it should be 36 hours.
	Yogi, 2016, It is 12 to 36 hours.
	Rajan, 2017, I think it is 24 to 48 hrs.
	Vishal, 2017, It is 12 to 36 hrs.
	Naveen, 2017, It is 12 to 36 hrs.
	Himllen, 2017, It's 24 hours.
	Sid, 2017, It must be in between 24-48 hrs.
	Shivam Dwivedi, 2017, As per IS code specifications the detention period of septic tank is 24 to 48 hours.
	Animesh Mahanty, 2017, 24 to 48 hours is correct.
	Shahnawaz, 2017, 24 to 48 hours is correct.
	Ritesh Maurya, 2017, 30minute is correct.
	Sujju Bhai, 2018, It's for skimming tank 40 mins.
	Raj, 2018, 24 to 48 hrs is correct.
	Tanu, 2018, 12-36 hours is the correct one.
	Mayur, 2018, 12 to 36 hours.
	Ranjan Barman, 2018, As per I.S, the detention period of septic assumes 30 minutes.
	Kiran Awaradi, 2019, The disposal of sewage from the septic tank is done by which of the following? Explanation: Soak pit is a circular pit through which sewage is disposed in the soil. $%  $% i.e: The septic tank has a long detention period in comparison to sedimentation than with a detention period of 12 to 36 hours.
	Pankaj Kumar Verma, 2019, 12-36 hours (but 24hours in designing).
	Danish, 2020, 12 hr -36 HR is the correct one.
	Rajkumar Subedi, 2021, It must be lies between 12hr to 36hr.



3645. For 100 sq. m cement concrete (1 : 2: 4) 4 cm thick floor, the quantity of cement required, is
	Sonu, 2013, Hi. $%  $% Please tell me, How to calculate the Qty of cement 0.940 m^3 ?
	Ratul Boruah, 2013, How to calculate the Qty of cement?
	Eng.Raj, 2013, Generally to calculate the Cement, fine aggregate and coarse aggregate the following method will be followed, $%  $% Wet Qty. of concrete = 100 Sqm * 0.04m thickness = 4.00 m^3 $% To get the dry volume of concrete, generally wet volume of concrete will be multiplied by 150%. $%  $% Therefore 4.00 m^3 * 150% = 6.00 m^3. $%  $% Cement Qty. = Dry volume of concrete / ( Sum of the ratio values). $%  $% = 6.00 /( 1+2+4). $% = 0.857 m^3 of Cement i.e.25 No. of bags. $%  $% But here they considered 164.5% instead of 150%. $%  $% Dry volume of concrete = 4 * 164.5% = 6.58 m^3. $%  $% Cement Qty. = 6.58/ (1+2+4) = 0.94 m^3 of Cement i.e. 27.5 bags.
	Asadullah Mehsud, 2021, 0.88cum. $% Valume of dry cement concreat 100 * .04= 4cum, $% Valume of wet concreat =4 * 1.54 = 6.16, $% Valume of cement = 1/7 * 6.16 = 0.88cum.
	Khld, 2021, 164.5 is assumed, how?
	Khld, 2021, . 88 m^3 is the right answer.
	Ajay Sharma, 2021, (1/7) * 1.54 * 4 = 0.88m^3 = 0.9m^3.
	Nasir Waheed, 2021, 0.88 m^3 is the right answer.
	Noora S B, 2021, 1.54 is the conversion factor to convert wet to dry mix and additional they take 10% for unevenness & loss. So, total 1.64.
	Mjm Gcek, 2021, The answer is 0.88m^3.
	V C Sawathkar, 2021, For 4cm thick flooring constant of rate analysis is 6.6. $% 6.6/(1+2+4) = 0.94285, $%  $% for 2.5cm thick flooring 4.125.
	Mjm Gcek, 2021, The correct answer is 0.88m3.
	Muhammad Tariq, 2021, The correct answer is 94. $% Volume of wet concrete in 4cum. $% Volume of dry concrete is=4*1.54( constant), $% Total v= 6.61. $% Quantity of cement = 1/7 * 6.61 = 0.94.
